package,description
acs,"Download, Manipulate, and Present American Community Survey and Decennial Data from the US Census"
ACSNMineR,Gene Enrichment Analysis from ACSN Maps or GMT Files
acss,Algorithmic Complexity for Short Strings
acss.data,Data Only: Algorithmic Complexity of Short Strings (Computed via Coding Theorem Method)
ACSWR,"A Companion Package for the Book ""A Course in Statistics with R"""
act,Aligned Corpus Toolkit
ACTCD,Asymptotic Classification Theory for Cognitive Diagnosis
ActCR,Extract Circadian Rhythms Metrics from Actigraphy Data
actel,Acoustic Telemetry Data Analysis
ActFrag,Activity Fragmentation Metrics Extracted from Minute Level Activity Data
activatr,Utilities for Parsing and Plotting Activities
ActiveDriver,Finding Cancer Driver Proteins with Enriched Mutations in Post-Translational Modification Sites
ActiveDriverWGS,A Driver Discovery Tool for Cancer Whole Genomes
activegp,Gaussian Process Based Design and Analysis for the Active Subspace Method
ActivePathways,Integrative Pathway Enrichment Analysis of Multivariate Omics Data
activity,Animal Activity Statistics
activityCounts,Generate ActiLife Counts
activityGCMM,Circular Mixed Effect Mixture Models of Animal Activity Patterns
ActivityIndex,Activity Index Calculation using Raw 'Accelerometry' Data
activPAL,Advanced Processing and Chart Generation from activPAL Events Files
actogrammr,Read in Activity Data and Plot Actograms
actuar,Actuarial Functions and Heavy Tailed Distributions
actuaryr,Develop Actuarial Models
AcuityView,A Package for Displaying Visual Scenes as They May Appear to an Animal with Lower Acuity
acumos,'Acumos' R Interface
ada,The R Package Ada for Stochastic Boosting
adabag,"Applies Multiclass AdaBoost.M1, SAMME and Bagging"
adagio,Discrete and Global Optimization Routines
adamethods,Archetypoid Algorithms and Anomaly Detection
AdapEnetClass,A Class of Adaptive Elastic Net Methods for Censored Data
AdapSamp,Adaptive Sampling Algorithms
adapt4pv,Adaptive Approaches for Signal Detection in Pharmacovigilance
adaptalint,Check Code Style Painlessly
AdaptFit,Adaptive Semiparametic Regression
AdaptFitOS,Adaptive Semiparametric Additive Regression with Simultaneous Confidence Bands and Specification Tests
AdaptGauss,Gaussian Mixture Models (GMM)
adaptiveGPCA,Adaptive Generalized PCA
AdaptiveSparsity,Adaptive Sparsity Models
adaptivetau,Tau-Leaping Stochastic Simulation
adaptMCMC,Implementation of a Generic Adaptive Monte Carlo Markov Chain Sampler
adaptMT,Adaptive P-Value Thresholding for Multiple Hypothesis Testing with Side Information
ADAPTS,Automated Deconvolution Augmentation of Profiles for Tissue Specific Cells
adaptsmoFMRI,Adaptive Smoothing of FMRI Data
adaptTest,Adaptive two-stage tests
AdaSampling,Adaptive Sampling for Positive Unlabeled and Label Noise Learning
ADCT,Adaptive Design in Clinical Trials
add2ggplot,Add to 'ggplot2'
addhaz,Binomial and Multinomial Additive Hazard Models
addhazard,Fit Additive Hazards Models for Survival Analysis
addinsJoaoMelo,Addins Made of Joao Melo
addinslist,Discover and Install Useful RStudio Addins
addinsOutline,'RStudio' Addins for Show Outline of a R Markdown/'LaTeX' Project
additiveDEA,Additive Data Envelopment Analysis Models
additivityTests,Additivity Tests in the Two Way Anova with Single Sub-class Numbers
addreg,Additive Regression for Discrete Data
addScales,Adds Labeled Center Line and Scale Lines/Regions to Trellis Plots
ADDT,Analysis of Accelerated Destructive Degradation Test Data
ade4,Analysis of Ecological Data: Exploratory and Euclidean Methods in Environmental Sciences
ade4TkGUI,'ade4' Tcl/Tk Graphical User Interface
adegenet,Exploratory Analysis of Genetic and Genomic Data
adegraphics,An S4 Lattice-Based Package for the Representation of Multivariate Data
adehabitatHR,Home Range Estimation
adehabitatHS,Analysis of Habitat Selection by Animals
adehabitatLT,Analysis of Animal Movements
adehabitatMA,Tools to Deal with Raster Maps
adephylo,Exploratory Analyses for the Phylogenetic Comparative Method
adepro,A 'shiny' Application for the (Audio-)Visualization of Adverse Event Profiles
adept,Adaptive Empirical Pattern Transformation
adeptdata,Accelerometry Data Sets
AdequacyModel,Adequacy of Probabilistic Models and General Purpose Optimization
adespatial,Multivariate Multiscale Spatial Analysis
adfExplorer,Import from and Export to Amiga Disk Files
ADGofTest,Anderson-Darling GoF test
adheRenceRX,Assess Medication Adherence from Pharmaceutical Claims Data
AdhereR,Adherence to Medications
AdhereRViz,Interactive Visualisation of Medication Adherence Patterns
adhoc,Calculate Ad Hoc Distance Thresholds for DNA Barcoding Identification
adimpro,Adaptive Smoothing of Digital Images
adiv,Analysis of Diversity
AdjBQR,Adjusted Bayesian Quantile Regression Inference
adjclust,Adjacency-Constrained Clustering of a Block-Diagonal Similarity Matrix
adjustedcranlogs,Remove Automated and Repeated Downloads from 'RStudio' 'CRAN' Download Logs
adklakedata,Adirondack Long-Term Lake Data
adlift,An Adaptive Lifting Scheme Algorithm
admisc,Adrian Dusa's Miscellaneous
AdMit,Adaptive Mixture of Student-t Distributions
admixr,An Interface for Running 'ADMIXTOOLS' Analyses
admixturegraph,Admixture Graph Manipulation and Fitting
ADMM,Algorithms using Alternating Direction Method of Multipliers
admmDensestSubmatrix,Alternating Direction Method of Multipliers to Solve Dense Dubmatrix Problem
ADMMnet,Regularized Model with Selecting the Number of Non-Zeros
ADMMsigma,Penalized Precision Matrix Estimation via ADMM
ADMUR,Ancient Demographic Modelling Using Radiocarbon
adnuts,No-U-Turn MCMC Sampling for 'ADMB' Models
adobeanalyticsr,R Client for 'Adobe Analytics' API 2.0
adoption,Modelling Adoption Process in Marketing
adoptr,Adaptive Optimal Two-Stage Designs in R
ADPclust,Fast Clustering Using Adaptive Density Peak Detection
ADPF,Use Least Squares Polynomial Regression and Statistical Testing to Improve Savitzky-Golay
adpss,Design and Analysis of Locally or Globally Efficient Adaptive Designs
ads,Spatial Point Patterns Analysis
adsDataHubR,Google Ads Data Hub API Client
ADtools,Automatic Differentiation Toolbox
AdvancedBasketballStats,Advanced Basketball Statistics
AdvBinomApps,Upper Clopper-Pearson Confidence Limits for Burn-in Studies under Additional Available Information
advclust,Object Oriented Advanced Clustering
AdvDif4,Solving 1D Advection Bi-Flux Diffusion Equation
adventr,"Interactive R Tutorials to Accompany Field (2016), ""An Adventure in Statistics"""
adwave,Wavelet Analysis of Genomic Data from Admixed Populations
adwordsR,Access the 'Google Adwords' API
AEDForecasting,Change Point Analysis in ARIMA Forecasting
AEenrich,Adverse Event Enrichment Tests
aemo,Download and Process AEMO Price and Demand Data
AEP,Statistical Modelling for Asymmetric Exponential Power Distribution
AER,Applied Econometrics with R
AeRobiology,A Computational Tool for Aerobiological Data
AF,Model-Based Estimation of Confounder-Adjusted Attributable Fractions
afc,Generalized Discrimination Score
afCEC,Active Function Cross-Entropy Clustering
afex,Analysis of Factorial Experiments
affinitymatrix,Estimation of Affinity Matrix
affluenceIndex,Affluence Indices
AFheritability,"The Attributable Fraction (AF) Described as a Function of Disease Heritability, Prevalence and Intervention Specific Factors"
AFM,Atomic Force Microscope Image Analysis
afmToolkit,Functions for Atomic Force Microscope Force-Distance Curves Analysis
afpt,Tools for Modelling of Animal Flight Performance
aftgee,Accelerated Failure Time Model with Generalized Estimating Equations
AGD,Analysis of Growth Data
aGE,Adaptive Set-Based Gene-Environment Interaction Test for Rare Variants
AggregateR,"Aggregate Numeric, Date and Categorical Variables"
aggregation,p-Value Aggregation Methods
AGHmatrix,Relationship Matrices for Diploid and Autopolyploid Species
aghq,Adaptive Gauss Hermite Quadrature for Bayesian Inference
agop,Aggregation Operators and Preordered Sets
AGPRIS,AGricultural PRoductivity in Space
AGread,Read Data Files from ActiGraph Monitors
agRee,Various Methods for Measuring Agreement
AgreementInterval,Agreement Interval of Two Measurement Methods
agricolae,Statistical Procedures for Agricultural Research
agridat,Agricultural Datasets
agriTutorial,Tutorial Analysis of Some Agricultural Experiments
agriwater,Evapotranspiration and Energy Fluxes Spatial Analysis
agrmt,Calculate Concentration and Dispersion in Ordered Rating Scales
agroclim,Climatic Indices for Agriculture
agrostab,Stability Analysis for Agricultural Research
AGSDest,Estimation in Adaptive Group Sequential Trials
agsemisc,Miscellaneous plotting and utility functions
agtboost,Adaptive and Automatic Gradient Boosting Computations
ahaz,Regularization for semiparametric additive hazards regression
AHM,Additive Heredity Model: Method for the Mixture-of-Mixtures Experiments
AHMbook,Functions and Data for the Book 'Applied Hierarchical Modeling in Ecology' Vols 1 and 2
ahnr,An Implementation of the Artificial Hydrocarbon Networks
AhoCorasickTrie,Fast Searching for Multiple Keywords in Multiple Texts
AHPhybrid,AHP Hybrid Method
ahpsurvey,Analytic Hierarchy Process for Survey Data
ahptopsis2n,Hybrid Method for Multiple Criteria Decision-Making (MCDM)
aibd,Attraction Indian Buffet Distribution
AICcmodavg,Model Selection and Multimodel Inference Based on (Q)AIC(c)
AID,Box-Cox Power Transformation
aidar,Tools for Reading AIDA Files
aif360,Help Detect and Mitigate Bias in Machine Learning Models
AIG,Automatic Item Generator
aimPlot,Create Pie Like Plot for Completeness
aimsir17,Irish Weather Observing Stations Hourly Records for 2017
aire.zmvm,"Download Mexico City Pollution, Wind, and Temperature Data"
airGR,Suite of GR Hydrological Models for Precipitation-Runoff Modelling
airGRdatassim,Ensemble-Based Data Assimilation with GR Hydrological Models
airGRteaching,Teaching Hydrological Modelling with the GR Rainfall-Runoff Models ('Shiny' Interface Included)
aiRly,R Wrapper for 'Airly' API
airportr,Convenience Tools for Working with Airport Data
airports,Data on Airports
airqualityES,Air Quality Measurements in Spain from 2011 to 2018
airr,AIRR Data Representation Reference Library
AirSensor,Process and Display Data from Air Quality Sensors
airt,Evaluation of Algorithm Collections Using Item Response Theory
aiRthermo,Atmospheric Thermodynamics and Visualization
ajv,Another JSON Schema Validator
akc,Automatic Knowledge Classification
Ake,Associated Kernel Estimations
akiFlagger,Flags Acute Kidney Injury (AKI)
akima,Interpolation of Irregularly and Regularly Spaced Data
akmbiclust,Alternating K-Means Biclustering
akmeans,Adaptive Kmeans algorithm based on threshold
akmedoids,Anchored Kmedoids for Longitudinal Data Clustering
ALA4R,Atlas of Living Australia (ALA) Data and Resources in R
alabama,Constrained Nonlinear Optimization
alakazam,Immunoglobulin Clonal Lineage and Diversity Analysis
ALassoSurvIC,Adaptive Lasso for the Cox Regression with Interval Censored and Possibly Left Truncated Data
albatross,PARAFAC Analysis of Fluorescence Excitation-Emission Matrices
albopictus,Age-Structured Population Dynamics Model
ald,The Asymmetric Laplace Distribution
ALDqr,Quantile Regression Using Asymmetric Laplace Distribution
ALEPlot,Accumulated Local Effects (ALE) Plots and Partial Dependence (PD) Plots
aLFQ,Estimating Absolute Protein Quantities from Label-Free LC-MS/MS Proteomics Data
alfr,Connectivity to 'Alfresco' Content Management Repositories
alfred,Downloading Time Series from ALFRED Database for Various Vintages
algaeClassify,Determine Phytoplankton Functional Groups Based on Functional Traits
AlgDesign,Algorithmic Experimental Design
AlgebraicHaploPackage,Haplotype Two Snips Out of a Paired Group of Patients
algo,Implement an Address Search Auto Completion Menu on 'Shiny' Text Inputs Using the 'Algolia Places' 'Javascript' Library
algorithmia,Allows you to Easily Interact with the Algorithmia Platform
aliases2entrez,Converts Human gene symbols to entrez IDs
alignfigR,Visualizing Multiple Sequence Alignments with 'ggplot2'
alineR,Alignment of Phonetic Sequences Using the 'ALINE' Algorithm
allcontributors,Acknowledge all Contributors to a Project
alleHap,Allele Imputation and Haplotype Reconstruction from Pedigree Databases
allelematch,Identifying Unique Multilocus Genotypes where Genotyping Error and Missing Data may be Present
AlleleRetain,"Allele Retention, Inbreeding, and Demography"
AlleleShift,Predict and Visualize Population-Level Changes in Allele Frequencies in Response to Climate Change
allelic,"A fast, unbiased and exact allelic exact test"
allestimates,Effect Estimates from All Models
AllPossibleSpellings,Computes all of a word's possible spellings
alluvial,Alluvial Diagrams
almanac,Tools for Working with Recurrence Rules
alookr,Model Classifier for Binary Classification
alpaca,Fit GLM's with High-Dimensional k-Way Fixed Effects
alphabetr,Algorithms for High-Throughput Sequencing of Antigen-Specific T Cells
alphahull,Generalization of the Convex Hull of a Sample of Points in the Plane
alphaOutlier,Obtain Alpha-Outlier Regions for Well-Known Probability Distributions
AlphaPart,Partition/Decomposition of Breeding Values by Paths of Information
alphashape3d,Implementation of the 3D Alpha-Shape for the Reconstruction of 3D Sets from a Point Cloud
AlphaSimR,Breeding Program Simulations
alphastable,Inference for Stable Distribution
AlphaVantageClient,Wrapper for Alpha Vantage API
alphavantager,Lightweight R Interface to the Alpha Vantage API
alr4,Data to Accompany Applied Linear Regression 4th Edition
ALS,Multivariate Curve Resolution Alternating Least Squares (MCR-ALS)
ALSCPC,Accelerated line search algorithm for simultaneous orthogonal transformation of several positive definite symmetric matrices to nearly diagonal form
ALSM,Companion to Applied Linear Statistical Models
altadata,API Wrapper for Altadata.io
altair,Interface to 'Altair'
altfuelr,Provides an Interface to the NREL Alternate Fuels Locator
altmeta,Alternative Meta-Analysis Methods
ALTopt,Optimal Experimental Designs for Accelerated Life Testing
altR2,Alternative Estimators to Adjusted R-Squared
amap,Another Multidimensional Analysis Package
AMAP.Seq,Compare Gene Expressions from 2-Treatment RNA-Seq Experiments
amapGeocode,An Interface to the 'AutoNavi Maps' API Geocoding Services
amber,Automated Model Benchmarking R Package
ambhasGW,Ground Water Modelling
ambient,A Generator of Multidimensional Noise
ambiorix,Web Framework Inspired by 'Express.js'
AMCP,A Model Comparison Perspective
AMCTestmakeR,Generate LaTeX Code for Auto-Multiple-Choice (AMC)
Amelia,A Program for Missing Data
amelie,Anomaly Detection with Normal Probability Functions
amen,Additive and Multiplicative Effects Models for Networks and Relational Data
AmericanCallOpt,This package includes pricing function for selected American call options with underlying assets that generate payouts
amerika,American Politics-Inspired Color Palette Generator
AmesHousing,The Ames Iowa Housing Data
AMGET,Post-processing tool for ADAPT 5
AmigaFFH,Commodore Amiga File Format Handler
aml,Adaptive Mixed LASSO
ammistability,Additive Main Effects and Multiplicative Interaction Model Stability Parameters
AMModels,Adaptive Management Model Manager
AmmoniaConcentration,Un-Ionized Ammonia Concentration
AMOEBA,A Multidirectional Optimum Ecotope-Based Algorithm
AMORE,Artificial Neural Network Training and Simulating
ampd,An Algorithm for Automatic Peak Detection in Noisy Periodic and Quasi-Periodic Signals
AmpGram,Prediction of Antimicrobial Peptides
ampir,Predict Antimicrobial Peptides
AMPLE,Common Code for the 'AMPED' and 'PIMPLE' 'shiny' Apps for Stakeholder Engagement and Harvest Strategies
AmpliconDuo,Statistical Analysis of Amplicon Data of the Same Sample to Identify Artefacts
AMR,Antimicrobial Resistance Data Analysis
amt,Animal Movement Tools
AmyloGram,Prediction of Amyloid Proteins
AnaCoDa,Analysis of Codon Data under Stationarity using a Bayesian Framework
anacor,Simple and Canonical Correspondence Analysis
analogsea,Interface to 'Digital Ocean'
analogue,Analogue and Weighted Averaging Methods for Palaeoecology
analogueExtra,Additional Functions for Use with the Analogue Package
analysisPipelines,Compose Interoperable Analysis Pipelines & Put Them in Production
analyz,Model Layer for Automatic Data Analysis via CSV File Interpretation
AnalyzeFMRI,Functions for Analysis of fMRI Datasets Stored in the ANALYZE or NIFTI Format
analyzer,Data Analysis and Automated R Notebook Generation
anapuce,Tools for Microarray Data Analysis
AncestryMapper,Assigning Ancestry Based on Population References
AnchorRegression,Perform AnchorRegression
anchors,Statistical analysis of surveys with anchoring vignettes
AnDE,An extended Bayesian Learning Technique developed by Dr. Geoff Webb
andrews,Andrews curves
Andromeda,Asynchronous Disk-Based Representation of Massive Data
andurinha,Make Spectroscopic Data Processing Easier
anesrake,ANES Raking Implementation
AnglerCreelSurveySimulation,Simulate a Bus Route Creel Survey of Anglers
angstroms,Tools for 'ROMS' the Regional Ocean Modeling System
aniDom,Inferring Dominance Hierarchies and Estimating Uncertainty
anim.plots,Simple Animated Plots for R
AnimalAPD,Compare Activity Patterns with Activity Probability Density (APD)
animalEKF,Extended Kalman Filters for Animal Movement
AnimalHabitatNetwork,Networks Characterising the Physical Configurations of Animal Habitats
animalTrack,Animal track reconstruction for high frequency 2-dimensional (2D) or 3-dimensional (3D) movement data
animaltracker,Animal Tracker
animation,A Gallery of Animations in Statistics and Utilities to Create Animations
animint2,Animated Interactive Grammar of Graphics
anipaths,Animation of Observed Trajectories Using Spline-Based Interpolation
aniview,Animate Shiny and R Markdown Content when it Comes into View
anMC,Compute High Dimensional Orthant Probabilities
ANN2,Artificial Neural Networks for Anomaly Detection
anndata,'anndata' for R
AnnotationBustR,Extract Subsequences from GenBank Annotations
AnnotLists,AnnotLists: A tool to annotate multiple lists from a specific annotation file
AnnuityRIR,Annuity Random Interest Rates
anocva,A Non-Parametric Statistical Test to Compare Clustering Structures
ANOM,Analysis of Means
anomalize,Tidy Anomaly Detection
anomaly,Detecting Anomalies in Data
anominate,Alpha-NOMINATE Ideal Point Estimator
ANOVAIREVA,Interactive Document for Working with Analysis of Variance
ANOVAreplication,Test ANOVA Replications by Means of the Prior Predictive p-Value
ANOVAShiny,Interactive Document for Working with Analysis of Variance
ANOVAShiny2,Interactive Document for Working with Analysis of Variance
anovir,Analysis of Virulence
anscombiser,Create Datasets with Identical Summary Statistics
AntAngioCOOL,Anti-Angiogenic Peptide Prediction
antaresEditObject,Edit an 'Antares' Simulation
antaresProcessing,'Antares' Results Processing
antaresRead,"Import, Manipulate and Explore the Results of an 'Antares' Simulation"
antaresViz,Antares Visualizations
anthro,Computation of the WHO Child Growth Standards
AnthropMMD,An R Package for Smith's Mean Measure of Divergence (MMD)
Anthropometry,Statistical Methods for Anthropometric Data
anticlust,Subset Partitioning via Anticlustering
antitrust,Tools for Antitrust Practitioners
antiword,Extract Text from Microsoft Word Documents
AntWeb,programmatic interface to the AntWeb
anybadger,Create Custom Pipeline Badges
anyflights,Query 'nycflights13'-Like Air Travel Data for Given Years and Airports
anyLib,"Install and Load Any Package from CRAN, Bioconductor or Github"
anytime,Anything to 'POSIXct' or 'Date' Converter
aod,Analysis of Overdispersed Data
aods3,Analysis of Overdispersed Data using S3 Methods
aof,Ontogenetic Shifts in Central-Place Foraging Insects
aoos,Another Object Orientation System
aopdata,Data from the 'Access to Opportunities Project (AOP)'
Aoptbdtvc,A-Optimal Block Designs for Comparing Test Treatments with Controls
aoristic,Generates Aoristic Probability Distributions
aos,Animate on Scroll Library for 'shiny'
AOV1R,Inference in the Balanced One-Way ANOVA Model with Random Factor
apa,Format Outputs of Statistical Tests According to APA Guidelines
ApacheLogProcessor,Process the Apache Web Server Log Files
apaTables,Create American Psychological Association (APA) Style Tables
apaText,Create R Markdown Text for Results in the Style of the American Psychological Association (APA)
apc,Age-Period-Cohort Analysis
APCanalysis,Analysis of Unreplicated Orthogonal Experiments using All Possible Comparisons
apcf,Adapted Pair Correlation Function
APCI,A New Age-Period-Cohort Model for Describing and Investigating Inter-Cohort Differences and Life Course Dynamics
apcluster,Affinity Propagation Clustering
aPCoA,Covariate Adjusted PCoA Plot
apdesign,An Implementation of the Additive Polynomial Design Matrix
ape,Analyses of Phylogenetics and Evolution
apercu,Quick Look at your Data
apex,Phylogenetic Methods for Multiple Gene Data
apexcharter,Create Interactive Chart with the JavaScript 'ApexCharts' Library
APFr,Multiple Testing Approach using Average Power Function (APF) and Bayes FDR Robust Estimation
APfun,Geo-Processing Helper Functions
aphid,Analysis with Profile Hidden Markov Models
APIS,Auto-Adaptive Parentage Inference Software Tolerant to Missing Parents
apisensr,Interface to 'episensr' for Sensitivity Analysis of Epidemiological Results
aplore3,"Datasets from Hosmer, Lemeshow and Sturdivant, ""Applied Logistic Regression"" (3rd Ed., 2013)"
aplot,Decorate a 'ggplot' with Associated Information
aplpack,"Another Plot Package: 'Bagplots', 'Iconplots', 'Summaryplots', Slider Functions and Others"
APML0,Augmented and Penalized Minimization Method L0
apng,Convert Png Files into Animated Png
apollo,Tools for Choice Model Estimation and Application
APPEstimation,Adjusted Prediction Model Performance Estimation
appler,'Apple App Store' and 'iTunes' Data Extraction
applicable,A Compilation of Applicability Domain Methods
AppliedPredictiveModeling,Functions and Data Sets for 'Applied Predictive Modeling'
appnn,Amyloid Propensity Prediction Neural Network
approximator,Bayesian Prediction of Complex Computer Codes
approxmatch,Approximately Optimal Fine Balance Matching with Multiple Groups
aprean3,"Datasets from Draper and Smith ""Applied Regression Analysis"" (3rd Ed., 1998)"
apricom,Tools for the a Priori Comparison of Regression Modelling Strategies
aprof,"Amdahl's Profiler, Directed Optimization Made Easy"
APSIMBatch,Analysis the output of Apsim software
apsimx,"Inspect, Read, Edit and Run 'APSIM' ""Next Generation"" and 'APSIM' Classic"
apsrtable,apsrtable model-output formatter for social science
apt,Asymmetric Price Transmission
aptg,Automatic Phylogenetic Tree Generator
APtools,Average Positive Predictive Values (AP) for Binary Outcomes and Censored Event Times
apTreeshape,Analyses of Phylogenetic Treeshape
apyramid,Visualize Population Pyramids Aggregated by Age
AQLSchemes,Retrieving Acceptance Sampling Schemes
aqp,Algorithms for Quantitative Pedology
AQuadtree,Confidentiality of Spatial Point Data
AquaEnv,Integrated Development Toolbox for Aquatic Chemical Model Generation
AR,Another Look at the Acceptance-Rejection Method
ar.matrix,Simulate Auto Regressive Data from Precision Matricies
arabic2kansuji,Convert Arabic Numerals to Kansuji
arabicStemR,Arabic Stemmer for Text Analysis
ArArRedux,Rigorous Data Reduction and Error Propagation of Ar40 / Ar39 Data
arc,Association Rule Classification
ARCensReg,Fitting Univariate Censored Linear Regression Model with Autoregressive Errors
ArchaeoChron,Bayesian Modeling of Archaeological Chronologies
ArchaeoPhases,"Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'"
ArchaeoPhases.dataset,Data Sets for 'ArchaeoPhases' Vignettes
archdata,Example Datasets from Archaeological Research
archeofrag,Refitting and Stratigraphic Analysis in Archeology
archetyper,An Archetype for Data Mining and Data Science Projects
archetypes,Archetypal Analysis
aRchi,Quantitative Structural Model ('QSM') Treatment for Tree Architecture
archiDART,Plant Root System Architecture Analysis Using DART and RSML Files
archiveRetriever,Retrieve Archived Web Pages from the 'Internet Archive'
archivist,"Tools for Storing, Restoring and Searching for R Objects"
archivist.github,"Tools for Archiving, Managing and Sharing R Objects via GitHub"
ArCo,Artificial Counterfactual Package
ARCokrig,Autoregressive Cokriging Models for Multifidelity Codes
arcos,Load ARCOS Prescription Data Prepared by the Washington Post
arcpullr,Pull Data from an 'ArcGIS REST' API
arctools,Processing and Physical Activity Summaries of Minute Level Activity Data
ArDec,Time series autoregressive-based decomposition
ARDL,"ARDL, ECM and Bounds-Test for Cointegration"
areabiplot,Area Biplot
areal,Areal Weighted Interpolation
arealDB,Harmonise and Integrate Heterogeneous Areal Data
areaplot,Plot Stacked Areas and Confidence Bands as Filled Polygons
arena2r,"Plots, Summary Statistics and Tools for Arena Simulation Users"
arenar,Arena for the Exploration and Comparison of any ML Models
arfima,Fractional ARIMA (and Other Long Memory) Time Series Modeling
argo,Accurate Estimation of Influenza Epidemics using Google Search Data
argon2,Secure Password Hashing
argonDash,Argon Shiny Dashboard Template
argonR,R Interface to Argon HTML Design
argosfilter,Argos locations filter
argparse,Command Line Optional and Positional Argument Parser
argparser,Command-Line Argument Parser
ArgumentCheck,Improved Communication to Users with Respect to Problems in Function Arguments
ARHT,Adaptable Regularized Hotelling's T^2 Test for High-Dimensional Data
ari,Automated R Instructor
ARIbrain,All-Resolution Inference
aricode,Efficient Computations of Standard Clustering Comparison Measures
ariExtra,Tools for Creating Automated Courses
arkdb,Archive and Unarchive Databases Using Flat Files
arkhe,Representation of Archaeological Data
arm,Data Analysis Using Regression and Multilevel/Hierarchical Models
armada,A Statistical Methodology to Select Covariates in High-Dimensional Data under Dependence
armspp,Adaptive Rejection Metropolis Sampling (ARMS) via 'Rcpp'
arnie,"""Arnie"" box office records 1982-2014"
AROC,Covariate-Adjusted Receiver Operating Characteristic Curve Inference
aroma.affymetrix,Analysis of Large Affymetrix Microarray Data Sets
aroma.apd,A Probe-Level Data File Format Used by 'aroma.affymetrix' [deprecated]
aroma.cn,Copy-Number Analysis of Large Microarray Data Sets
aroma.core,Core Methods and Classes Used by 'aroma.*' Packages Part of the Aroma Framework
Arothron,Geometric Morphometric Methods and Virtual Anthropology Tools
ARpLMEC,Fitting Autoregressive Censored Mixed-Effects Models
ARPobservation,Tools for Simulating Direct Behavioral Observation Recording Procedures Based on Alternating Renewal Processes
arpr,Advanced R Pipes
aRpsDCA,Arps Decline Curve Analysis in R
arrangements,"Fast Generators and Iterators for Permutations, Combinations, Integer Partitions and Compositions"
arrApply,Apply a Function to a Margin of an Array
arrayhelpers,Convenience Functions for Arrays
arrow,Integration to 'Apache' 'Arrow'
ars,Adaptive Rejection Sampling
arse,Area of Resilience to Stress Event
arsenal,An Arsenal of 'R' Functions for Large-Scale Statistical Summaries
ART,Aligned Rank Transform for Nonparametric Factorial Analysis
artfima,ARTFIMA Model Estimation
